Preço;Máximo(RS);Mínimo(RS);Abertura(RS);Volume;Fechamento(RS);Venda;Compra;Variação(RS);Variação(perc);Data
32.930;32.930;32.090;32.090;9.178.100.000;31.820;32.850;32.930;1.110;3.49;02/01/2018 00:00
33.350;33.420;32.820;33.100;8.175.100.000;32.930;33.330;33.350;0.420;1.28;03/01/2018 00:00
33.670;33.960;33.450;33.520;9.625.200.000;33.350;33.660;33.670;0.320;0.96;04/01/2018 00:00
33.670;33.900;33.290;33.700;5.267.800.000;33.670;33.660;33.670;0.000;0.00;05/01/2018 00:00
33.750;33.750;33.340;33.640;5.130.600.000;33.670;33.730;33.750;0.080;0.24;08/01/2018 00:00
33.430;33.800;33.380;33.590;5.822.500.000;33.750;33.420;33.430;-0.320;-0.95;09/01/2018 00:00
33.290;33.590;32.820;33.200;5.070.000.000;33.430;33.280;33.350;-0.140;-0.42;10/01/2018 00:00
34.050;34.220;33.350;33.430;9.684.400.000;33.290;34.050;34.060;0.760;2.28;11/01/2018 00:00
34.130;34.160;33.620;33.670;7.650.400.000;34.050;34.000;34.130;0.080;0.23;12/01/2018 00:00
34.300;34.450;34.130;34.130;5.244.600.000;34.130;34.290;34.300;0.170;0.50;15/01/2018 00:00
34.600;34.690;34.330;34.470;6.219.300.000;34.300;34.530;34.600;0.300;0.87;16/01/2018 00:00
35.420;35.570;34.460;34.610;12.134.800.000;34.600;35.420;35.450;0.820;2.37;17/01/2018 00:00
35.180;35.580;34.730;35.580;9.429.400.000;35.420;35.120;35.180;-0.240;-0.68;18/01/2018 00:00
34.950;35.800;34.950;35.310;8.142.700.000;35.180;34.950;35.000;-0.230;-0.65;19/01/2018 00:00
35.070;35.200;34.520;35.000;6.341.000.000;34.950;35.060;35.070;0.120;0.34;22/01/2018 00:00
35.200;35.490;34.700;34.970;17.731.400.000;35.070;35.180;35.200;0.130;0.37;23/01/2018 00:00
37.990;37.990;35.440;35.500;27.722.100.000;35.200;37.930;37.990;2.790;7.93;24/01/2018 00:00
39.170;39.500;38.150;38.400;24.260.100.000;37.990;39.170;39.170;1.180;3.11;26/01/2018 00:00
38.950;39.200;38.510;38.910;13.322.200.000;39.170;38.910;38.950;-0.220;-0.56;29/01/2018 00:00
38.800;38.950;38.300;38.470;10.832.100.000;38.950;38.780;38.800;-0.150;-0.39;30/01/2018 00:00
39.680;40.100;39.400;39.400;12.752.900.000;38.800;39.680;39.700;0.880;2.27;31/01/2018 00:00
39.790;40.050;39.380;39.430;10.992.500.000;39.680;39.780;39.790;0.110;0.28;01/02/2018 00:00
39.250;39.590;39.050;39.300;8.409.600.000;39.790;39.190;39.260;-0.540;-1.36;02/02/2018 00:00
38.080;39.410;38.030;38.800;6.043.400.000;39.250;38.070;38.080;-1.170;-2.98;05/02/2018 00:00
39.750;40.080;37.310;37.650;13.040.200.000;38.080;39.740;39.750;1.670;4.39;06/02/2018 00:00
39.790;40.610;39.490;39.730;13.992.300.000;39.750;39.750;39.790;0.040;0.10;07/02/2018 00:00
38.540;40.220;38.540;40.010;12.651.200.000;39.790;38.540;38.650;-1.250;-3.14;08/02/2018 00:00
37.820;38.790;37.260;38.660;10.066.800.000;38.540;37.820;38.000;-0.720;-1.87;09/02/2018 00:00
39.560;39.740;38.050;38.050;10.787.900.000;37.820;39.540;39.560;1.740;4.60;14/02/2018 00:00
39.900;40.200;39.600;40.000;11.229.500.000;39.560;39.900;39.930;0.340;0.86;15/02/2018 00:00
40.300;40.310;39.700;40.130;6.577.100.000;39.900;40.180;40.300;0.400;1.00;16/02/2018 00:00
39.630;40.560;39.180;40.200;4.608.900.000;40.300;39.630;39.650;-0.670;-1.66;19/02/2018 00:00
40.800;40.930;39.130;39.250;8.990.400.000;39.630;40.720;40.800;1.170;2.95;20/02/2018 00:00
41.120;41.440;40.700;40.700;11.831.700.000;40.800;41.090;41.140;0.320;0.78;21/02/2018 00:00
42.400;43.280;42.140;43.130;17.075.800.000;41.120;42.400;42.430;1.280;3.11;22/02/2018 00:00
42.400;42.690;41.950;42.500;8.615.600.000;42.400;42.380;42.400;0.000;0.00;23/02/2018 00:00
43.020;43.110;42.520;42.520;6.994.200.000;42.400;42.990;43.020;0.620;1.46;26/02/2018 00:00
42.600;43.100;42.300;42.850;5.957.000.000;43.020;42.580;42.600;-0.420;-0.98;27/02/2018 00:00
41.800;42.880;41.520;42.300;7.773.500.000;42.600;41.780;41.800;-0.800;-1.88;28/02/2018 00:00
42.100;42.250;41.600;41.780;7.234.200.000;41.800;42.090;42.100;0.300;0.72;01/03/2018 00:00
42.200;42.410;41.200;41.560;5.683.600.000;42.100;42.160;42.200;0.310;0.74;02/03/2018 00:00
42.550;42.880;41.920;42.250;6.035.900.000;42.200;42.540;42.550;0.350;0.83;05/03/2018 00:00
