Venda;Compra;Máximo;Mínimo;Variação(RS);Variação(perc);Abertura;Data
32.588;32.601;32.892;32.579;-0.0543;-1.638;0.0000;02/01/2018 00:00
32.349;32.364;32.638;32.349;-0.0237;-0.727;0.0000;03/01/2018 00:00
32.332;32.339;32.398;32.222;-0.0025;-0.077;0.0000;04/01/2018 00:00
32.323;32.336;32.474;32.284;-0.0003;-0.009;0.0000;05/01/2018 00:00
32.356;32.363;32.444;32.263;0.0027;0.083;0.0000;08/01/2018 00:00
32.457;32.464;32.524;32.309;0.0101;0.312;0.0000;09/01/2018 00:00
32.275;32.282;32.515;32.275;-0.0182;-0.561;0.0000;10/01/2018 00:00
32.178;32.185;32.350;32.178;-0.0097;-0.300;0.0000;11/01/2018 00:00
32.049;32.062;32.279;32.029;-0.0123;-0.382;0.0000;12/01/2018 00:00
32.096;32.102;32.105;31.940;0.0040;0.125;0.0000;15/01/2018 00:00
32.282;32.289;32.358;32.134;0.0187;0.583;0.0000;16/01/2018 00:00
32.157;32.170;32.366;32.134;-0.0119;-0.369;0.0000;17/01/2018 00:00
32.089;32.096;32.212;32.027;-0.0074;-0.230;0.0000;18/01/2018 00:00
32.006;32.013;32.126;31.995;-0.0083;-0.259;0.0000;19/01/2018 00:00
32.085;32.092;32.091;31.836;0.0079;0.247;0.0000;22/01/2018 00:00
32.374;32.381;32.426;32.092;0.0289;0.901;0.0000;23/01/2018 00:00
31.581;31.590;32.271;31.581;-0.0791;-2.443;0.0000;24/01/2018 00:00
31.470;31.500;31.470;31.470;-0.0090;-0.285;0.0000;25/01/2018 00:00
31.394;31.402;31.524;31.239;-0.0098;-0.311;0.0000;26/01/2018 00:00
31.650;31.665;31.704;31.600;0.0263;0.838;0.0000;29/01/2018 00:00
31.787;31.799;31.921;31.531;0.0134;0.423;0.0000;30/01/2018 00:00
31.793;31.803;31.866;31.467;0.0004;0.013;0.0000;31/01/2018 00:00
31.683;31.690;31.911;31.618;-0.0113;-0.355;0.0000;01/02/2018 00:00
32.137;32.145;32.217;31.874;0.0455;1.436;0.0000;02/02/2018 00:00
32.455;32.470;32.471;32.226;0.0325;1.011;0.0000;05/02/2018 00:00
32.446;32.461;32.757;32.377;-0.0009;-0.028;0.0000;06/02/2018 00:00
32.757;32.770;32.773;32.386;0.0309;0.952;0.0000;07/02/2018 00:00
32.803;32.811;32.984;32.581;0.0041;0.125;0.0000;08/02/2018 00:00
33.017;33.023;33.164;32.740;0.0212;0.646;0.0000;09/02/2018 00:00
32.261;32.274;32.790;32.248;-0.0749;-2.268;0.0000;14/02/2018 00:00
32.346;32.359;32.402;32.090;0.0085;0.263;0.0000;15/02/2018 00:00
32.204;32.213;32.434;32.060;-0.0146;-0.451;0.0000;16/02/2018 00:00
32.330;32.350;32.359;32.176;0.0137;0.425;0.0000;19/02/2018 00:00
32.546;32.555;32.546;32.401;0.0205;0.634;0.0000;20/02/2018 00:00
32.605;32.618;32.605;32.439;0.0063;0.194;0.0000;21/02/2018 00:00
32.479;32.486;32.697;32.443;-0.0132;-0.405;0.0000;22/02/2018 00:00
32.405;32.417;32.463;32.343;-0.0069;-0.212;0.0000;23/02/2018 00:00
32.319;32.326;32.421;32.302;-0.0091;-0.281;0.0000;26/02/2018 00:00
32.475;32.500;32.527;32.263;0.0174;0.538;0.0000;27/02/2018 00:00
32.421;32.428;32.491;32.371;-0.0072;-0.222;0.0000;28/02/2018 00:00
32.541;32.548;32.681;32.426;0.0120;0.370;0.0000;01/03/2018 00:00
32.493;32.506;32.637;32.493;-0.0042;-0.129;0.0000;02/03/2018 00:00
32.474;32.481;32.626;32.462;-0.0025;-0.077;0.0000;05/03/2018 00:00
32.097;32.105;32.295;32.069;-0.0376;-1.158;0.0000;06/03/2018 00:00
32.429;32.441;32.475;32.203;0.0336;1.047;0.0000;07/03/2018 00:00
32.615;32.645;32.645;32.402;0.0204;0.629;0.0000;08/03/2018 00:00
32.505;32.514;32.652;32.396;-0.0131;-0.401;0.0000;09/03/2018 00:00
32.555;32.580;32.643;32.513;0.0066;0.203;0.0000;12/03/2018 00:00
32.612;32.621;32.640;32.403;0.0041;0.126;0.0000;13/03/2018 00:00
32.602;32.610;32.661;32.494;-0.0011;-0.034;0.0000;14/03/2018 00:00
32.898;32.905;32.939;32.737;0.0295;0.905;0.0000;15/03/2018 00:00
32.781;32.789;32.939;32.730;-0.0116;-0.353;0.0000;16/03/2018 00:00
32.825;32.845;32.947;32.825;0.0056;0.171;0.0000;19/03/2018 00:00
33.069;33.084;33.089;32.803;0.0239;0.728;0.0000;20/03/2018 00:00
32.676;32.685;33.064;32.676;-0.0399;-1.206;0.0000;21/03/2018 00:00
33.089;33.099;33.089;32.837;0.0414;1.267;0.0000;22/03/2018 00:00
33.170;33.192;33.170;32.947;0.0093;0.281;0.0000;23/03/2018 00:00
33.025;33.036;33.097;32.975;-0.0156;-0.470;0.0000;26/03/2018 00:00
33.299;33.314;33.347;33.164;0.0278;0.842;0.0000;27/03/2018 00:00
33.300;33.310;33.431;33.235;-0.0004;-0.012;0.0000;28/03/2018 00:00
32.994;33.001;33.269;32.935;-0.0309;-0.928;0.0000;29/03/2018 00:00
33.116;33.127;33.222;32.990;0.0126;0.382;0.0000;02/04/2018 00:00
33.374;33.381;33.398;33.051;0.0254;0.767;0.0000;03/04/2018 00:00
33.401;33.408;33.606;33.330;0.0027;0.081;0.0000;04/04/2018 00:00
33.413;33.420;33.449;33.040;0.0012;0.036;0.0000;05/04/2018 00:00
33.674;33.681;33.763;33.469;0.0261;0.781;0.0000;06/04/2018 00:00
34.208;34.219;34.208;33.690;0.0538;1.597;0.0000;09/04/2018 00:00
34.106;34.114;34.326;34.034;-0.0105;-0.307;0.0000;10/04/2018 00:00
33.852;33.866;34.201;33.772;-0.0248;-0.727;0.0000;11/04/2018 00:00
34.066;34.080;34.075;33.676;0.0214;0.632;0.0000;12/04/2018 00:00
34.254;34.261;34.295;34.017;0.0181;0.531;0.0000;13/04/2018 00:00
34.114;34.120;34.333;34.089;-0.0141;-0.412;0.0000;16/04/2018 00:00
34.073;34.080;34.150;33.915;-0.0040;-0.117;0.0000;17/04/2018 00:00
33.794;33.801;33.976;33.745;-0.0279;-0.819;0.0000;18/04/2018 00:00
33.908;33.915;34.064;33.841;0.0114;0.337;0.0000;19/04/2018 00:00
34.108;34.117;34.147;33.997;0.0202;0.596;0.0000;20/04/2018 00:00
34.520;34.528;34.520;34.235;0.0411;1.205;0.0000;23/04/2018 00:00
34.685;34.693;34.757;34.399;0.0165;0.478;0.0000;24/04/2018 00:00
34.840;34.860;35.110;34.837;0.0167;0.481;0.0000;25/04/2018 00:00
34.760;34.767;35.051;34.760;-0.0093;-0.267;0.0000;26/04/2018 00:00
34.614;34.621;34.742;34.564;-0.0146;-0.420;0.0000;27/04/2018 00:00
35.029;35.035;35.061;34.678;0.0414;1.196;0.0000;30/04/2018 00:00
35.478;35.491;35.518;35.203;0.0456;1.302;0.0000;02/05/2018 00:00
35.290;35.305;35.658;35.224;-0.0186;-0.524;0.0000;03/05/2018 00:00
35.227;35.240;35.444;35.162;-0.0065;-0.184;0.0000;04/05/2018 00:00
35.521;35.528;35.558;35.383;0.0288;0.817;0.0000;07/05/2018 00:00
35.682;35.689;35.882;35.555;0.0161;0.453;0.0000;08/05/2018 00:00
35.940;35.954;36.079;35.669;0.0265;0.743;0.0000;09/05/2018 00:00
35.461;35.467;35.792;35.429;-0.0487;-1.355;0.0000;10/05/2018 00:00
35.999;36.008;36.073;35.489;0.0541;1.525;0.0000;11/05/2018 00:00
36.274;36.281;36.362;35.790;0.0273;0.758;0.0000;14/05/2018 00:00
36.602;36.608;36.916;36.439;0.0327;0.901;0.0000;15/05/2018 00:00
36.777;36.784;36.892;36.687;0.0176;0.481;0.0000;16/05/2018 00:00
36.996;37.012;37.086;36.544;0.0228;0.620;0.0000;17/05/2018 00:00
37.389;37.396;37.583;37.162;0.0384;1.038;0.0000;18/05/2018 00:00
36.883;36.890;37.210;36.865;-0.0506;-1.353;0.0000;21/05/2018 00:00
36.440;36.447;36.602;36.308;-0.0443;-1.201;0.0000;22/05/2018 00:00
36.238;36.251;36.713;36.200;-0.0196;-0.538;0.0000;23/05/2018 00:00
36.474;36.483;36.549;36.316;0.0232;0.640;0.0000;24/05/2018 00:00
36.676;36.683;36.751;36.448;0.0200;0.548;0.0000;25/05/2018 00:00
37.271;37.286;37.369;36.716;0.0603;1.644;0.0000;28/05/2018 00:00
37.379;37.392;37.579;37.118;0.0106;0.284;0.0000;29/05/2018 00:00
37.352;37.367;37.603;36.977;-0.0025;-0.067;0.0000;30/05/2018 00:00
37.660;37.667;37.662;37.232;0.0300;0.803;0.0000;01/06/2018 00:00
37.419;37.434;37.515;37.282;-0.0233;-0.619;0.0000;04/06/2018 00:00
38.094;38.100;38.099;37.620;0.0666;1.779;0.0000;05/06/2018 00:00
38.377;38.384;38.377;38.117;0.0284;0.745;0.0000;06/06/2018 00:00
39.229;39.258;39.556;38.652;0.0874;2.277;0.0000;07/06/2018 00:00
37.059;37.065;38.478;37.016;-0.2193;-5.586;0.0000;08/06/2018 00:00
37.255;37.267;37.263;36.765;0.0202;0.545;0.0000;11/06/2018 00:00
37.069;37.075;37.263;36.750;-0.0192;-0.515;0.0000;12/06/2018 00:00
37.130;37.137;37.299;36.915;0.0062;0.167;0.0000;13/06/2018 00:00
38.112;38.119;38.112;36.924;0.0982;2.644;0.0000;14/06/2018 00:00
37.277;37.300;37.985;37.145;-0.0819;-2.149;0.0000;15/06/2018 00:00
37.390;37.400;37.631;37.325;0.0100;0.268;0.0000;18/06/2018 00:00
37.437;37.443;37.730;37.197;0.0043;0.115;0.0000;19/06/2018 00:00
37.816;37.827;37.830;37.090;0.0384;1.026;0.0000;20/06/2018 00:00
37.616;37.633;37.986;37.554;-0.0194;-0.513;0.0000;21/06/2018 00:00
37.819;37.831;37.824;37.441;0.0198;0.526;0.0000;22/06/2018 00:00
37.769;37.779;37.854;37.654;-0.0052;-0.137;0.0000;25/06/2018 00:00
37.960;37.980;37.982;37.636;0.0201;0.532;0.0000;26/06/2018 00:00
38.739;38.755;38.744;37.929;0.0775;2.041;0.0000;27/06/2018 00:00
38.547;38.557;38.682;38.374;-0.0198;-0.511;0.0000;28/06/2018 00:00
38.758;38.773;38.759;38.309;0.0216;0.560;0.0000;29/06/2018 00:00
39.103;39.111;39.171;38.827;0.0338;0.872;0.0000;02/07/2018 00:00
38.944;38.954;38.997;38.733;-0.0157;-0.401;0.0000;03/07/2018 00:00
39.110;39.130;39.170;38.917;0.0176;0.452;0.0000;04/07/2018 00:00
39.335;39.344;39.384;38.884;0.0214;0.547;0.0000;05/07/2018 00:00
38.677;38.687;39.477;38.616;-0.0657;-1.670;0.0000;06/07/2018 00:00
38.636;38.647;38.675;38.635;-0.0040;-0.103;0.0000;09/07/2018 00:00
37.960;37.975;38.803;37.955;-0.0672;-1.739;0.0000;10/07/2018 00:00
38.800;38.811;38.804;38.144;0.0836;2.201;0.0000;11/07/2018 00:00
38.826;38.841;38.985;38.416;0.0030;0.077;0.0000;12/07/2018 00:00
38.496;38.508;38.883;38.477;-0.0333;-0.857;0.0000;13/07/2018 00:00
38.630;38.650;38.704;38.403;0.0142;0.369;0.0000;16/07/2018 00:00
38.445;38.460;38.769;38.390;-0.0190;-0.492;0.0000;17/07/2018 00:00
38.400;38.415;38.588;38.220;-0.0045;-0.117;0.0000;18/07/2018 00:00
38.441;38.448;38.897;38.441;0.0033;0.086;0.0000;19/07/2018 00:00
37.727;37.739;38.031;37.635;-0.0709;-1.844;0.0000;20/07/2018 00:00
37.824;37.831;37.991;37.770;0.0092;0.244;0.0000;23/07/2018 00:00
37.424;37.431;37.753;37.349;-0.0400;-1.057;0.0000;24/07/2018 00:00
37.007;37.022;37.272;36.995;-0.0409;-1.093;0.0000;25/07/2018 00:00
37.461;37.468;37.461;37.005;0.0446;1.205;0.0000;26/07/2018 00:00
37.164;37.179;37.407;37.071;-0.0289;-0.771;0.0000;27/07/2018 00:00
37.294;37.300;37.294;37.027;0.0121;0.325;0.0000;30/07/2018 00:00
37.528;37.548;37.621;37.264;0.0248;0.665;0.0000;31/07/2018 00:00
