Preço;Máximo(RS);Mínimo(RS);Abertura(RS);Volume;Fechamento(RS);Venda;Compra;Variação(RS);Variação(Perc);Data
38.480;38.480;37.740;37.960;342.300.000;37.690;38.110;38.480;0.810;2.15;02/01/2018 00:00
38.780;38.780;38.100;38.480;275.800.000;38.480;38.600;38.780;0.300;0.78;03/01/2018 00:00
39.210;39.400;38.700;38.780;226.800.000;38.780;39.210;39.350;0.430;1.11;04/01/2018 00:00
39.480;39.490;38.890;39.210;166.700.000;39.210;39.120;39.480;0.270;0.69;05/01/2018 00:00
39.260;39.340;38.950;39.110;158.800.000;39.480;39.120;39.260;-0.220;-0.56;08/01/2018 00:00
38.700;39.240;38.700;39.240;87.400.000;39.260;38.700;38.770;-0.560;-1.43;09/01/2018 00:00
38.850;38.930;38.490;38.680;229.900.000;38.700;38.750;38.850;0.150;0.39;10/01/2018 00:00
39.700;39.700;38.900;38.900;134.500.000;38.850;39.460;39.700;0.850;2.19;11/01/2018 00:00
39.200;39.490;39.020;39.490;251.200.000;39.700;39.110;39.200;-0.500;-1.26;12/01/2018 00:00
39.320;39.370;39.120;39.170;174.300.000;39.200;39.320;39.390;0.120;0.31;15/01/2018 00:00
39.590;39.900;39.380;39.460;131.300.000;39.320;39.590;39.780;0.270;0.69;16/01/2018 00:00
40.040;40.040;39.530;39.590;259.600.000;39.590;39.970;40.040;0.450;1.14;17/01/2018 00:00
40.150;40.200;39.810;39.840;204.500.000;40.040;40.000;40.150;0.110;0.27;18/01/2018 00:00
40.310;40.430;39.990;40.150;203.300.000;40.150;40.210;40.310;0.160;0.40;19/01/2018 00:00
40.900;41.100;40.220;40.320;380.700.000;40.310;40.900;40.930;0.590;1.46;22/01/2018 00:00
40.730;41.700;40.570;40.610;312.600.000;40.900;40.720;41.060;-0.170;-0.42;23/01/2018 00:00
42.800;42.800;41.000;41.000;352.300.000;40.730;42.750;42.800;2.070;5.08;24/01/2018 00:00
44.580;44.800;43.130;43.200;828.500.000;42.800;44.490;44.580;1.780;4.16;26/01/2018 00:00
44.300;44.720;43.830;44.590;233.800.000;44.580;43.950;44.300;-0.280;-0.63;29/01/2018 00:00
43.910;44.220;43.360;44.220;202.900.000;44.300;43.910;43.980;-0.390;-0.88;30/01/2018 00:00
44.340;45.000;44.030;44.030;168.600.000;43.910;44.340;44.380;0.430;0.98;31/01/2018 00:00
44.640;44.800;43.890;44.400;219.300.000;44.340;44.450;44.640;0.320;0.72;01/02/2018 00:00
44.400;44.600;43.800;44.130;348.300.000;44.640;44.170;44.400;-0.240;-0.54;02/02/2018 00:00
43.450;44.500;43.390;44.340;139.800.000;44.400;43.290;43.450;-0.950;-2.14;05/02/2018 00:00
44.250;44.560;43.290;43.330;861.900.000;43.450;44.240;44.720;0.800;1.84;06/02/2018 00:00
43.420;44.720;43.400;44.300;219.400.000;44.250;43.420;43.420;-0.830;-1.88;07/02/2018 00:00
