Preço;Máximo(RS);Mínimo(RS);Abertura(RS);Volume;Fechamento(RS);Venda;Compra;Variaação(RS);Variação(perc);Data
43.880;43.880;42.800;42.800;11.100.600.000;42.580;43.790;43.880;1.320;3.10;02/01/2018 00:00
44.180;44.340;43.570;43.900;14.863.700.000;43.880;44.170;44.180;0.300;0.68;03/01/2018 00:00
45.100;45.300;44.250;44.250;15.481.700.000;44.180;45.100;45.200;0.920;2.08;04/01/2018 00:00
45.230;45.320;44.600;45.120;10.478.300.000;45.100;45.200;45.230;0.130;0.29;05/01/2018 00:00
45.080;45.320;44.780;45.060;8.472.100.000;45.230;45.070;45.080;-0.150;-0.33;08/01/2018 00:00
44.590;45.000;44.410;44.960;14.272.000.000;45.080;44.540;44.590;-0.490;-1.09;09/01/2018 00:00
44.440;44.600;44.160;44.380;9.067.700.000;44.590;44.440;44.520;-0.150;-0.34;10/01/2018 00:00
45.370;45.370;44.600;44.700;10.364.300.000;44.440;45.360;45.370;0.930;2.09;11/01/2018 00:00
45.330;45.420;44.970;45.160;6.854.900.000;45.370;45.260;45.330;-0.040;-0.09;12/01/2018 00:00
45.610;45.620;45.410;45.490;7.275.800.000;45.330;45.590;45.610;0.280;0.62;15/01/2018 00:00
46.030;46.230;45.450;45.500;8.756.700.000;45.610;46.030;46.040;0.420;0.92;16/01/2018 00:00
46.790;46.950;45.810;46.010;9.612.600.000;46.030;46.780;46.800;0.760;1.65;17/01/2018 00:00
46.680;47.120;46.480;46.700;8.660.600.000;46.790;46.670;46.680;-0.110;-0.24;18/01/2018 00:00
47.060;47.180;46.630;46.900;7.388.700.000;46.680;47.060;47.070;0.380;0.81;19/01/2018 00:00
48.230;48.230;46.970;47.060;11.913.100.000;47.060;48.230;48.240;1.170;2.49;22/01/2018 00:00
48.060;48.600;47.910;48.000;19.467.500.000;48.230;48.050;48.060;-0.170;-0.35;23/01/2018 00:00
50.370;50.430;48.400;48.440;14.738.100.000;48.060;50.210;50.370;2.310;4.81;24/01/2018 00:00
53.120;53.120;51.010;51.200;31.624.400.000;50.370;53.120;53.120;2.750;5.46;26/01/2018 00:00
51.690;52.860;51.690;52.640;22.086.900.000;53.120;51.690;51.780;-1.430;-2.69;29/01/2018 00:00
51.490;51.730;50.800;51.400;16.963.500.000;51.690;51.480;51.490;-0.200;-0.39;30/01/2018 00:00
52.260;53.060;52.110;52.150;13.985.900.000;51.490;52.180;52.260;0.770;1.50;31/01/2018 00:00
52.510;52.960;51.550;51.840;17.167.000.000;52.260;52.480;52.510;0.270;0.52;01/02/2018 00:00
51.850;51.970;51.220;51.660;12.140.200.000;52.510;51.850;51.860;-0.660;-1.26;02/02/2018 00:00
50.030;52.300;50.030;51.270;15.449.600.000;51.850;50.020;50.080;-1.820;-3.51;05/02/2018 00:00
51.830;52.260;49.960;49.980;59.151.400.000;50.030;51.830;52.000;1.800;3.60;06/02/2018 00:00
50.600;52.110;50.560;51.930;18.294.000.000;51.830;50.600;50.610;-1.230;-2.37;07/02/2018 00:00
50.350;51.550;50.000;50.950;15.016.000.000;50.600;50.350;50.400;-0.250;-0.49;08/02/2018 00:00
50.480;50.790;49.550;50.200;17.405.200.000;50.350;50.480;50.490;0.130;0.26;09/02/2018 00:00
52.660;52.810;51.200;51.510;14.618.000.000;50.480;52.650;52.660;2.180;4.32;14/02/2018 00:00
52.670;53.290;52.610;53.010;27.104.200.000;52.660;52.660;52.670;0.010;0.02;15/02/2018 00:00
50.830;50.840;50.300;50.700;36.090.600.000;52.670;50.740;50.830;0.240;0.47;16/02/2018 00:00
50.430;51.120;50.230;50.830;5.509.500.000;50.830;50.430;50.440;-0.400;-0.79;19/02/2018 00:00
51.670;51.940;50.200;50.300;17.253.000.000;50.430;51.650;51.670;1.240;2.46;20/02/2018 00:00
52.350;53.250;51.970;51.970;19.082.300.000;51.670;52.340;52.350;0.680;1.32;21/02/2018 00:00
52.640;53.190;52.260;52.750;11.437.400.000;52.350;52.530;52.640;0.290;0.55;22/02/2018 00:00
53.000;53.230;51.870;53.230;14.823.500.000;52.640;53.000;53.000;0.360;0.68;23/02/2018 00:00
52.940;53.340;52.600;53.200;11.547.800.000;53.000;52.940;52.950;-0.060;-0.11;26/02/2018 00:00
52.150;53.080;52.000;52.710;7.709.900.000;52.940;52.070;52.160;-0.790;-1.49;27/02/2018 00:00
50.380;52.250;50.380;52.030;28.368.400.000;52.150;50.370;50.380;-1.770;-3.39;28/02/2018 00:00
51.110;51.500;50.390;50.600;14.810.200.000;50.380;51.110;51.130;0.750;1.49;01/03/2018 00:00
51.380;51.380;50.230;50.820;10.396.700.000;51.110;51.350;51.380;0.270;0.53;02/03/2018 00:00
52.110;52.250;50.920;51.380;8.661.800.000;51.380;52.100;52.110;0.730;1.42;05/03/2018 00:00
51.920;52.940;51.920;52.550;9.042.200.000;52.110;51.920;51.950;-0.190;-0.36;06/03/2018 00:00
51.850;51.910;51.020;51.800;9.720.000.000;51.920;51.850;51.850;-0.070;-0.13;07/03/2018 00:00
51.490;52.670;51.060;52.500;9.237.300.000;51.850;51.460;51.490;-0.360;-0.69;08/03/2018 00:00
52.200;52.240;51.310;51.540;9.094.000.000;51.490;52.130;52.200;0.710;1.38;09/03/2018 00:00
