Preço;Máximo(RS);Mínimo(RS);Abertura(RS);Volume;Fechamento(RS);Venda;Compra;Variação(RS);Variação(perc);Data
32.730;32.730;32.230;32.300;1.257.900.000;31.880;32.500;32.730;0.850;2.67;02/01/2018 00:00
32.460;32.990;32.460;32.700;1.255.200.000;32.730;32.460;32.580;-0.270;-0.82;03/01/2018 00:00
32.850;33.030;32.510;32.700;1.386.100.000;32.460;32.850;32.890;0.390;1.20;04/01/2018 00:00
33.200;33.250;32.850;33.120;5.358.800.000;32.850;33.190;33.200;0.350;1.07;05/01/2018 00:00
32.480;32.530;31.620;32.020;1.900.100.000;33.200;32.400;32.480;0.480;1.50;08/01/2018 00:00
32.250;32.470;31.920;32.320;1.180.200.000;32.480;32.250;32.350;-0.230;-0.71;09/01/2018 00:00
32.190;32.450;31.940;32.080;737.300.000;32.250;32.190;32.230;-0.060;-0.19;10/01/2018 00:00
32.670;32.670;32.130;32.230;793.400.000;32.190;32.580;32.690;0.480;1.49;11/01/2018 00:00
32.510;32.830;32.350;32.400;1.114.100.000;32.670;32.420;32.510;-0.160;-0.49;12/01/2018 00:00
32.450;32.850;32.450;32.760;350.800.000;32.510;32.450;32.540;-0.060;-0.18;15/01/2018 00:00
32.390;32.740;32.350;32.610;886.800.000;32.450;32.380;32.420;-0.060;-0.18;16/01/2018 00:00
32.740;32.800;32.270;32.540;938.400.000;32.390;32.680;32.740;0.350;1.08;17/01/2018 00:00
32.510;32.910;32.200;32.610;766.100.000;32.740;32.500;32.510;-0.230;-0.70;18/01/2018 00:00
32.670;32.820;32.400;32.720;880.700.000;32.510;32.650;32.670;0.160;0.49;19/01/2018 00:00
33.490;33.490;32.580;32.650;1.172.400.000;32.670;33.260;33.490;0.820;2.51;22/01/2018 00:00
33.570;33.800;32.890;33.520;1.083.200.000;33.490;33.530;33.570;0.080;0.24;23/01/2018 00:00
35.150;35.150;33.780;33.800;3.131.500.000;33.570;34.970;35.150;1.580;4.71;24/01/2018 00:00
36.690;36.690;35.260;35.260;2.817.200.000;35.150;36.600;36.690;1.540;4.38;26/01/2018 00:00
35.720;36.690;35.600;36.500;976.900.000;36.690;35.670;35.720;-0.970;-2.64;29/01/2018 00:00
35.650;35.880;34.920;35.850;1.687.500.000;35.720;35.630;35.650;-0.070;-0.20;30/01/2018 00:00
35.840;37.200;35.840;36.920;2.854.600.000;35.650;35.840;35.940;0.190;0.53;31/01/2018 00:00
36.600;36.840;35.690;35.750;1.766.700.000;35.840;36.580;36.600;0.760;2.12;01/02/2018 00:00
36.400;36.680;35.800;36.280;1.809.200.000;36.600;36.370;36.400;-0.200;-0.55;02/02/2018 00:00
34.920;36.290;34.920;36.080;1.225.600.000;36.400;34.920;35.040;-1.480;-4.07;05/02/2018 00:00
36.190;36.250;34.220;34.750;1.598.500.000;34.920;36.190;36.220;1.270;3.64;06/02/2018 00:00
35.500;36.360;35.280;35.800;1.887.000.000;36.190;35.380;35.510;-0.690;-1.91;07/02/2018 00:00
35.330;35.950;34.960;35.600;1.791.400.000;35.500;35.330;35.340;-0.170;-0.48;08/02/2018 00:00
34.780;35.360;34.430;35.020;1.934.300.000;35.330;34.780;34.810;-0.550;-1.56;09/02/2018 00:00
36.010;36.340;35.150;35.180;1.574.600.000;34.780;36.000;36.040;1.230;3.54;14/02/2018 00:00
36.380;36.820;36.190;36.410;866.000.000;36.010;36.380;36.400;0.370;1.03;15/02/2018 00:00
36.640;36.790;36.050;36.600;825.900.000;36.380;36.640;36.670;0.260;0.71;16/02/2018 00:00
36.590;36.870;36.230;36.780;333.400.000;36.640;36.390;36.590;-0.050;-0.14;19/02/2018 00:00
36.240;36.290;35.200;35.300;2.182.800.000;36.590;36.100;36.240;-0.350;-0.96;20/02/2018 00:00
36.680;37.400;36.240;36.250;4.723.200.000;36.240;36.670;36.900;0.440;1.21;21/02/2018 00:00
37.250;37.350;36.830;36.830;1.223.900.000;36.680;37.080;37.250;0.570;1.55;22/02/2018 00:00
38.070;38.070;37.180;37.390;1.550.400.000;37.250;37.720;38.070;0.820;2.20;23/02/2018 00:00
38.250;38.880;38.070;38.140;2.338.300.000;38.070;38.250;38.360;0.180;0.47;26/02/2018 00:00
37.880;38.760;37.630;38.260;2.013.900.000;38.250;37.770;37.880;-0.370;-0.97;27/02/2018 00:00
36.770;38.160;36.770;38.140;2.482.700.000;37.880;36.770;36.960;-1.110;-2.93;28/02/2018 00:00
36.570;37.100;36.340;36.500;1.967.400.000;36.770;36.570;36.700;-0.200;-0.54;01/03/2018 00:00
36.610;36.710;35.950;36.240;886.800.000;36.570;36.580;36.610;0.040;0.11;02/03/2018 00:00
36.810;37.170;36.560;36.610;1.037.500.000;36.610;36.810;36.990;0.200;0.55;05/03/2018 00:00
36.490;37.280;36.420;36.820;1.317.200.000;36.810;36.480;36.490;-0.320;-0.87;06/03/2018 00:00
36.600;36.620;36.090;36.490;1.446.900.000;36.490;36.500;36.600;0.110;0.30;07/03/2018 00:00
36.470;37.070;36.000;36.760;987.900.000;36.600;36.380;36.470;-0.130;-0.36;08/03/2018 00:00
36.840;37.100;36.370;36.470;981.600.000;36.470;36.720;36.840;0.370;1.01;09/03/2018 00:00
37.250;37.470;36.790;36.970;1.150.000.000;36.840;37.220;37.250;0.410;1.11;12/03/2018 00:00
36.730;37.480;36.510;37.480;1.438.400.000;37.250;36.730;36.770;-0.520;-1.40;13/03/2018 00:00
37.170;37.190;36.700;36.700;1.004.700.000;36.730;37.040;37.180;0.440;1.20;14/03/2018 00:00
37.100;37.570;36.510;36.980;1.862.000.000;37.170;37.100;37.160;-0.070;-0.19;15/03/2018 00:00
37.650;37.780;37.030;37.100;3.027.600.000;37.100;37.600;37.650;0.550;1.48;16/03/2018 00:00
37.360;37.560;36.850;37.230;1.716.400.000;37.650;37.360;37.370;-0.290;-0.77;19/03/2018 00:00
37.670;37.680;37.200;37.500;2.085.800.000;37.360;37.660;37.670;0.310;0.83;20/03/2018 00:00
37.410;37.950;37.130;37.700;2.784.300.000;37.670;37.410;37.420;-0.260;-0.69;21/03/2018 00:00
37.300;37.730;36.880;37.410;1.207.700.000;37.410;37.060;37.300;-0.110;-0.29;22/03/2018 00:00
37.070;37.680;36.660;36.800;1.098.600.000;37.300;37.070;37.080;-0.230;-0.62;23/03/2018 00:00
37.600;37.650;37.010;37.440;684.700.000;37.070;37.530;37.600;0.530;1.43;26/03/2018 00:00
37.600;38.260;37.390;37.590;939.400.000;37.600;37.580;37.600;0.000;0.00;27/03/2018 00:00
38.210;38.400;37.380;37.470;2.150.900.000;37.600;38.210;38.250;0.610;1.62;28/03/2018 00:00
39.910;40.000;38.250;38.470;2.632.300.000;38.210;39.800;39.910;1.700;4.45;29/03/2018 00:00
39.510;40.110;39.510;39.820;1.165.700.000;39.910;39.510;39.790;-0.400;-1.00;02/04/2018 00:00
39.910;40.220;39.510;39.960;1.154.400.000;39.510;39.740;39.920;0.400;1.01;03/04/2018 00:00
39.530;39.590;38.870;39.330;1.404.200.000;39.910;39.530;39.570;-0.380;-0.95;04/04/2018 00:00
39.700;40.430;39.650;40.030;1.266.300.000;39.530;39.690;39.700;0.170;0.43;05/04/2018 00:00
38.820;39.530;38.330;39.530;3.611.600.000;39.700;38.820;38.840;-0.740;-1.87;06/04/2018 00:00
38.220;38.970;38.000;38.820;1.742.800.000;38.820;38.220;38.250;-0.600;-1.55;09/04/2018 00:00
38.250;38.760;38.140;38.650;1.610.900.000;38.220;38.200;38.250;0.030;0.08;10/04/2018 00:00
39.000;39.130;37.900;38.400;1.120.300.000;38.250;38.980;39.000;0.750;1.96;11/04/2018 00:00
39.400;39.730;39.170;39.250;1.370.500.000;39.000;39.390;39.400;0.400;1.03;12/04/2018 00:00
38.800;39.380;38.450;39.290;1.177.100.000;39.400;38.750;38.800;-0.600;-1.52;13/04/2018 00:00
37.590;39.100;37.240;39.100;2.196.900.000;38.800;37.360;37.590;-1.210;-3.12;16/04/2018 00:00
37.860;38.160;37.410;37.850;1.145.400.000;37.590;37.860;37.930;0.270;0.72;17/04/2018 00:00
39.130;39.280;38.000;38.050;1.979.100.000;37.860;39.130;39.150;1.270;3.35;18/04/2018 00:00
39.300;39.480;38.640;39.210;1.230.800.000;39.130;39.240;39.300;0.170;0.43;19/04/2018 00:00
38.860;39.200;38.630;38.910;718.500.000;39.300;38.850;38.880;-0.440;-1.12;20/04/2018 00:00
39.210;39.320;38.380;38.900;989.900.000;38.860;39.210;39.240;0.350;0.90;23/04/2018 00:00
39.270;40.800;39.250;39.650;4.465.100.000;39.210;39.270;39.350;0.060;0.15;24/04/2018 00:00
38.070;39.850;37.860;39.680;1.675.100.000;39.270;38.070;38.100;-1.200;-3.06;25/04/2018 00:00
38.020;38.570;37.960;38.230;1.538.000.000;38.070;38.020;38.100;-0.050;-0.13;26/04/2018 00:00
38.220;38.640;38.140;38.390;1.431.400.000;38.020;38.220;38.500;0.200;0.53;27/04/2018 00:00
38.110;38.770;37.950;38.170;1.755.600.000;38.220;37.990;38.130;-0.110;-0.29;30/04/2018 00:00
36.900;37.950;36.900;37.700;1.139.300.000;38.110;36.890;37.000;-1.210;-3.18;02/05/2018 00:00
36.160;36.950;35.890;36.950;1.449.600.000;36.900;36.140;36.290;-0.740;-2.01;03/05/2018 00:00
36.310;36.460;35.670;35.920;834.400.000;36.160;36.310;36.330;0.150;0.41;04/05/2018 00:00
36.000;36.740;35.820;36.500;1.377.200.000;36.310;35.850;36.000;-0.310;-0.85;07/05/2018 00:00
35.620;36.050;35.200;36.020;1.734.400.000;36.000;35.600;35.780;-0.380;-1.06;08/05/2018 00:00
35.690;35.900;35.110;35.730;1.981.400.000;35.620;35.690;35.870;0.070;0.20;09/05/2018 00:00
37.100;37.100;35.810;35.830;1.659.500.000;35.690;36.950;37.100;1.410;3.95;10/05/2018 00:00
36.510;37.370;36.180;37.000;926.400.000;37.100;36.500;36.570;-0.590;-1.59;11/05/2018 00:00
