Preço;Máximo(RS);Mínimo(RS);Abertura(RS);Volume;Fechamento(RS);Venda;Compra;Variação(RS);Variação(perc);Data
18.880;18.880;18.500;18.580;2.900.000;18.490;18.650;18.880;0.390;2.11;02/01/2018 00:00
18.700;18.830;18.400;18.820;7.200.000;18.880;18.680;18.690;-0.180;-0.95;03/01/2018 00:00
18.350;18.900;18.350;18.580;7.000.000;18.700;18.150;18.350;-0.350;-1.87;04/01/2018 00:00
18.370;18.590;18.190;18.460;36.000.000;18.350;18.140;18.370;0.020;0.11;05/01/2018 00:00
18.500;18.500;16.910;17.500;29.400.000;18.370;18.010;18.500;0.700;3.93;08/01/2018 00:00
17.910;18.200;17.910;18.100;11.500.000;18.500;17.910;18.160;-0.590;-3.19;09/01/2018 00:00
18.750;18.750;17.950;18.000;3.700.000;17.910;17.800;18.750;0.840;4.69;10/01/2018 00:00
18.200;18.280;18.100;18.100;12.100.000;18.750;18.140;18.200;-0.550;-2.93;11/01/2018 00:00
18.010;18.350;18.010;18.200;4.100.000;18.200;18.010;18.290;-0.190;-1.04;12/01/2018 00:00
18.700;18.700;18.000;18.170;11.200.000;18.010;17.920;18.700;0.690;3.83;15/01/2018 00:00
18.160;18.350;18.160;18.160;13.900.000;18.700;18.060;18.500;-0.540;-2.89;16/01/2018 00:00
18.500;18.500;18.170;18.170;4.900.000;18.160;18.180;18.500;0.340;1.87;17/01/2018 00:00
18.180;18.490;18.150;18.490;21.600.000;18.500;18.160;18.180;-0.320;-1.73;18/01/2018 00:00
18.700;18.700;18.200;18.360;12.000.000;18.180;18.220;18.750;0.520;2.86;19/01/2018 00:00
19.000;19.000;18.210;18.700;8.000.000;18.700;19.000;20.600;0.300;1.60;22/01/2018 00:00
19.250;19.350;18.830;19.040;4.600.000;19.000;19.160;19.340;0.250;1.32;23/01/2018 00:00
20.150;20.150;19.240;19.330;12.800.000;19.250;19.450;20.260;0.900;4.68;24/01/2018 00:00
21.080;21.200;20.200;20.200;10.600.000;20.150;21.050;21.660;0.930;4.62;26/01/2018 00:00
20.400;21.360;20.400;21.350;3.500.000;21.080;20.400;21.050;-0.680;-3.23;29/01/2018 00:00
20.160;20.580;20.040;20.480;21.500.000;20.400;20.150;20.500;-0.240;-1.18;30/01/2018 00:00
20.660;21.830;20.660;20.710;8.200.000;20.160;20.660;20.740;0.500;2.48;31/01/2018 00:00
21.200;21.200;20.500;20.500;8.200.000;20.660;21.160;21.600;0.540;2.61;01/02/2018 00:00
20.710;21.250;20.700;21.200;12.000.000;21.200;20.710;21.220;-0.490;-2.31;02/02/2018 00:00
20.010;20.800;20.010;20.570;2.900.000;20.710;20.000;20.300;-0.700;-3.38;05/02/2018 00:00
20.330;20.650;19.800;19.900;7.500.000;20.010;20.310;20.580;0.320;1.60;06/02/2018 00:00
20.270;20.800;20.270;20.300;3.200.000;20.330;20.030;20.310;-0.060;-0.30;07/02/2018 00:00
20.500;20.500;20.250;20.250;400.000;20.270;20.510;20.800;0.230;1.13;08/02/2018 00:00
19.500;19.990;19.500;19.990;8.900.000;20.500;19.400;21.000;-1.000;-4.88;09/02/2018 00:00
20.630;20.630;19.520;19.520;800.000;19.500;20.580;21.110;1.130;5.79;14/02/2018 00:00
21.250;21.250;20.980;21.050;17.000.000;20.630;21.070;21.300;0.620;3.01;15/02/2018 00:00
21.000;21.240;20.520;21.050;22.300.000;21.250;20.980;21.210;-0.250;-1.18;16/02/2018 00:00
20.970;21.020;20.940;21.020;5.300.000;21.000;20.890;20.970;-0.030;-0.14;19/02/2018 00:00
20.590;20.650;20.180;20.240;6.400.000;20.970;20.310;21.490;-0.380;-1.81;20/02/2018 00:00
21.380;21.450;21.060;21.150;13.700.000;20.590;21.300;21.380;0.790;3.84;21/02/2018 00:00
21.200;21.380;20.950;21.380;2.800.000;21.380;21.050;21.220;-0.180;-0.84;22/02/2018 00:00
21.130;21.660;21.100;21.500;8.000.000;21.200;21.060;21.500;-0.070;-0.33;23/02/2018 00:00
22.490;22.490;21.370;21.370;8.500.000;21.130;21.800;22.490;1.360;6.44;26/02/2018 00:00
21.560;22.300;21.510;22.100;3.600.000;22.490;21.560;22.210;-0.930;-4.14;27/02/2018 00:00
21.500;21.500;20.950;21.060;10.100.000;21.560;21.000;21.500;-0.060;-0.28;28/02/2018 00:00
21.100;21.350;21.000;21.350;9.800.000;21.500;21.010;22.000;-0.400;-1.86;01/03/2018 00:00
20.960;21.010;20.570;21.000;6.600.000;21.100;20.960;21.070;-0.140;-0.66;02/03/2018 00:00
21.900;21.900;20.800;21.090;7.900.000;20.960;20.820;21.900;0.940;4.48;05/03/2018 00:00
21.070;21.580;21.000;21.580;9.100.000;21.900;21.000;21.400;-0.830;-3.79;06/03/2018 00:00
20.870;20.950;20.870;20.950;1.000.000;21.070;20.840;21.110;-0.200;-0.95;07/03/2018 00:00
20.980;21.120;20.980;21.120;800.000;20.870;20.720;20.960;0.110;0.53;08/03/2018 00:00
20.990;20.990;20.980;20.980;200.000;20.980;20.710;20.970;0.010;0.05;09/03/2018 00:00
21.450;21.500;21.000;21.150;2.700.000;20.990;21.100;21.370;0.460;2.19;12/03/2018 00:00
20.680;21.100;20.680;21.100;1.900.000;21.450;20.650;21.300;-0.770;-3.59;13/03/2018 00:00
20.900;21.000;20.680;20.840;19.900.000;20.680;20.900;21.350;0.220;1.06;14/03/2018 00:00
21.370;21.550;20.900;20.900;8.800.000;20.900;21.360;21.660;0.470;2.25;15/03/2018 00:00
21.860;21.860;21.500;21.500;6.700.000;21.370;21.740;21.970;0.490;2.29;16/03/2018 00:00
21.250;21.720;21.250;21.500;1.100.000;21.860;21.250;21.480;-0.610;-2.79;19/03/2018 00:00
22.000;22.000;21.210;21.490;7.400.000;21.250;21.300;22.000;0.750;3.53;20/03/2018 00:00
21.460;21.750;21.330;21.330;6.400.000;22.000;21.350;21.630;-0.540;-2.45;21/03/2018 00:00
21.500;21.740;20.910;21.400;6.400.000;21.460;20.900;21.500;0.040;0.19;22/03/2018 00:00
20.920;21.680;20.750;21.000;9.600.000;21.500;20.920;21.300;-0.580;-2.70;23/03/2018 00:00
21.990;21.990;21.180;21.180;3.100.000;20.920;21.200;22.000;1.070;5.11;26/03/2018 00:00
21.550;22.000;21.550;21.580;4.200.000;21.990;21.540;22.150;-0.440;-2.00;27/03/2018 00:00
22.160;22.160;21.840;22.000;9.900.000;21.550;22.120;22.160;0.610;2.83;28/03/2018 00:00
23.000;23.000;22.200;22.200;20.500.000;22.160;22.960;23.200;0.840;3.79;29/03/2018 00:00
22.600;23.600;22.530;23.000;5.300.000;23.000;22.500;22.850;-0.400;-1.74;02/04/2018 00:00
22.890;24.600;22.380;22.700;15.700.000;22.600;22.880;23.500;0.290;1.28;03/04/2018 00:00
22.700;23.000;22.210;22.890;2.100.000;22.890;22.590;22.870;-0.190;-0.83;04/04/2018 00:00
22.420;23.200;22.420;23.200;2.000.000;22.700;22.350;22.700;-0.280;-1.23;05/04/2018 00:00
21.900;22.300;21.820;22.300;1.500.000;22.420;21.750;22.000;-0.450;-2.01;06/04/2018 00:00
21.850;21.870;21.440;21.510;8.500.000;21.900;21.400;22.500;-0.050;-0.23;09/04/2018 00:00
22.200;22.500;21.670;21.860;5.500.000;21.850;22.130;22.200;0.350;1.60;10/04/2018 00:00
22.440;22.600;22.040;22.200;1.900.000;22.200;22.420;22.750;0.240;1.08;11/04/2018 00:00
22.810;23.000;22.440;22.440;11.900.000;22.440;22.710;22.810;0.370;1.65;12/04/2018 00:00
22.200;22.580;22.100;22.580;19.600.000;22.810;22.200;22.800;-0.610;-2.67;13/04/2018 00:00
21.010;22.400;21.010;22.400;10.700.000;22.200;21.010;22.350;-1.190;-5.36;16/04/2018 00:00
21.950;21.950;21.140;21.330;4.800.000;21.010;21.150;21.990;0.940;4.47;17/04/2018 00:00
22.150;22.480;21.300;21.630;9.900.000;21.950;22.100;22.480;0.200;0.91;18/04/2018 00:00
22.600;22.640;22.020;22.020;4.400.000;22.150;22.460;22.600;0.450;2.03;19/04/2018 00:00
