Preço;Máximo(RS);Mínimo(RS);Abertura(RS);Volume;Fechamento(RS);Venda;Compra;Variação(RS);Variação(perc);Data
13.760;13.890;13.530;13.530;27.800.000;13.220;13.670;13.890;0.540;4.08;02/01/2018 00:00
14.120;14.350;13.890;13.890;29.400.000;13.760;14.000;14.120;0.360;2.62;03/01/2018 00:00
14.210;14.430;13.890;14.180;44.900.000;14.120;14.210;14.380;0.090;0.64;04/01/2018 00:00
15.200;15.200;14.270;14.270;115.800.000;14.210;15.200;15.250;0.990;6.97;05/01/2018 00:00
14.220;15.200;14.130;14.580;51.100.000;15.200;14.220;14.490;-0.350;-2.40;08/01/2018 00:00
14.150;14.300;13.920;14.150;34.700.000;14.220;14.100;14.160;-0.070;-0.49;09/01/2018 00:00
14.270;14.310;14.160;14.280;6.700.000;14.150;14.250;14.310;0.120;0.85;10/01/2018 00:00
14.390;14.390;14.170;14.220;15.500.000;14.270;14.340;14.390;0.120;0.84;11/01/2018 00:00
14.100;14.440;14.100;14.380;13.900.000;14.390;14.020;14.290;-0.290;-2.02;12/01/2018 00:00
14.500;14.600;14.300;14.300;9.600.000;14.100;14.510;14.520;0.400;2.84;15/01/2018 00:00
14.250;14.600;14.230;14.530;15.700.000;14.500;14.240;14.340;-0.250;-1.72;16/01/2018 00:00
14.360;14.360;14.150;14.250;6.000.000;14.250;14.180;14.360;0.110;0.77;17/01/2018 00:00
14.000;14.300;14.000;14.220;30.300.000;14.360;14.000;14.160;-0.360;-2.51;18/01/2018 00:00
14.150;14.160;13.940;14.120;17.400.000;14.000;14.100;14.150;0.150;1.07;19/01/2018 00:00
14.350;14.350;14.100;14.110;6.500.000;14.150;14.230;14.350;0.200;1.41;22/01/2018 00:00
14.300;14.440;14.230;14.350;11.300.000;14.350;14.290;14.300;-0.050;-0.35;23/01/2018 00:00
14.730;14.730;14.330;14.400;23.400.000;14.300;14.690;14.730;0.430;3.01;24/01/2018 00:00
15.500;15.500;14.730;14.730;23.900.000;14.730;15.100;15.500;0.770;5.23;26/01/2018 00:00
15.010;15.450;14.710;15.450;10.600.000;15.500;15.010;15.100;-0.490;-3.16;29/01/2018 00:00
15.100;15.340;14.600;15.000;39.600.000;15.010;15.100;15.250;0.090;0.60;30/01/2018 00:00
15.150;15.750;15.150;15.500;18.500.000;15.100;15.110;15.400;0.050;0.33;31/01/2018 00:00
15.200;15.580;15.130;15.180;21.500.000;15.150;15.190;15.750;0.050;0.33;01/02/2018 00:00
15.300;15.450;15.110;15.330;16.700.000;15.200;15.230;15.300;0.100;0.66;02/02/2018 00:00
15.190;15.300;15.060;15.210;8.300.000;15.300;15.060;15.190;-0.110;-0.72;05/02/2018 00:00
15.330;15.330;14.800;15.190;16.200.000;15.190;15.330;15.380;0.140;0.92;06/02/2018 00:00
15.160;15.390;15.150;15.390;13.900.000;15.330;15.150;15.200;-0.170;-1.11;07/02/2018 00:00
15.200;15.200;15.010;15.120;5.600.000;15.160;15.200;15.240;0.040;0.26;08/02/2018 00:00
15.000;15.280;14.850;15.190;9.800.000;15.200;15.000;15.350;-0.200;-1.32;09/02/2018 00:00
15.400;15.500;15.010;15.010;3.600.000;15.000;15.120;15.400;0.400;2.67;14/02/2018 00:00
15.310;15.500;15.310;15.320;20.500.000;15.400;15.300;15.340;-0.090;-0.58;15/02/2018 00:00
15.500;15.500;15.150;15.400;23.600.000;15.310;15.250;15.500;0.190;1.24;16/02/2018 00:00
15.560;15.600;15.300;15.600;7.600.000;15.500;15.430;15.560;0.060;0.39;19/02/2018 00:00
15.520;15.560;15.120;15.560;8.700.000;15.560;15.460;15.520;-0.040;-0.26;20/02/2018 00:00
15.700;15.920;15.380;15.520;16.000.000;15.520;15.700;15.930;0.180;1.16;21/02/2018 00:00
15.960;15.990;15.710;15.980;3.900.000;15.700;15.920;15.970;0.260;1.66;22/02/2018 00:00
16.190;16.570;15.750;15.970;9.900.000;15.960;16.000;16.190;0.230;1.44;23/02/2018 00:00
16.250;16.890;16.250;16.700;10.900.000;16.190;16.000;16.310;0.060;0.37;26/02/2018 00:00
16.160;16.950;16.160;16.950;4.300.000;16.250;16.110;16.240;-0.090;-0.55;27/02/2018 00:00
15.400;16.480;15.400;16.480;24.800.000;16.160;15.400;15.800;-0.760;-4.70;28/02/2018 00:00
15.520;15.700;15.500;15.600;9.200.000;15.400;15.450;15.520;0.120;0.78;01/03/2018 00:00
15.500;15.520;15.340;15.410;8.800.000;15.520;15.460;15.520;-0.020;-0.13;02/03/2018 00:00
15.700;16.000;15.520;15.520;9.100.000;15.500;15.660;15.700;0.200;1.29;05/03/2018 00:00
15.430;16.100;15.430;15.700;9.100.000;15.700;15.430;15.750;-0.270;-1.72;06/03/2018 00:00
15.520;15.520;15.390;15.430;2.000.000;15.430;15.490;15.700;0.090;0.58;07/03/2018 00:00
15.530;15.750;15.450;15.750;1.500.000;15.520;15.530;15.700;0.010;0.06;08/03/2018 00:00
15.690;15.690;15.530;15.530;1.100.000;15.530;15.560;15.700;0.160;1.03;09/03/2018 00:00
16.020;16.100;15.700;15.700;7.900.000;15.690;16.020;16.100;0.330;2.10;12/03/2018 00:00
15.900;16.150;15.850;16.050;2.700.000;16.020;15.860;15.900;-0.120;-0.75;13/03/2018 00:00
16.200;16.200;15.800;16.100;20.500.000;15.900;16.000;16.220;0.300;1.89;14/03/2018 00:00
